"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1937375509416976484","Tue Jun 24 05:01:30 +0000 2025","0","gw aja skrg ngerasa kek nyesel kenapa dulu setelah lulus sekolah ga ke jepang aja minta modalin dibanding kuliah yg ternyata huhuhu stres berat. walaupun kerja udh pasti stres tapi kan setidaknya punya duit","1937375509416976484","","","in","","0","0","0","https://x.com/undefined/status/1937375509416976484","1793516818759622656",
"1937358279480606871","Tue Jun 24 03:53:02 +0000 2025","54","kuliah STRESSS tapi setidaknya abis ini stres di luar negeri","1937358279480606871","","","in","","0","48","8","https://x.com/undefined/status/1937358279480606871","1686290909158346752",
"1937322235947286714","Tue Jun 24 01:29:49 +0000 2025","0","kalo lagi stres kuliah gini emang pengennya punya special someone sih... pengen didengerin diajak keliling kota dipukpuk disemangatin dikasih sayang.. allahuakbar","1937322235947286714","","","in","","0","0","0","https://x.com/undefined/status/1937322235947286714","884238660756844546",
"1937093530952077739","Tue Jun 24 01:10:14 +0000 2025","0","@sbmptnfess Ini yg sekali selama kuliah aja rasanya stres bgt INI LG TIAP SEMESTER ","1937317306289496439","","sbmptnfess","in","","0","0","0","https://x.com/undefined/status/1937317306289496439","1886293958357323776",
"1937310705335619822","Tue Jun 24 00:44:00 +0000 2025","0","Tugas kuliah bikin stres? Inrush siap jadi penyelamat! WA di bio! #zonauang #jokitugas Pidato Makalah PKM Proposal Jurnal PPT Poster Jawab Soal Komik Puisi Halaman Gambar Legal Opinion Esai Daftar Isi Dafpus Hukum Artikel Inrush","1937310705335619822","","","in","","0","0","0","https://x.com/undefined/status/1937310705335619822","1903129706792394752",
"1937119444691812834","Mon Jun 23 12:04:00 +0000 2025","0","SEDIH","1937119444691812834","","","in","","0","0","0","https://x.com/undefined/status/1937119444691812834","1410466897989050372",
"1936408862556565920","Mon Jun 23 11:51:40 +0000 2025","0","@richie_ald gue spill. emang kuliah seru pas keterima doang abis itu stres sampe skripsian. kelar skripsi wisuda nah itu seneng lagi tuh sehari. abis itu makin stres mikir lulusan s1 susah bgt buset nyari kerjaan. selamat ovt. sekian","1937116343884714111","","richie_ald","in","","0","0","0","https://x.com/undefined/status/1937116343884714111","1287630207600357379",
"1937114670986612833","Mon Jun 23 11:45:02 +0000 2025","0","libur kuliah aku bosen bgt yaa kaya cicak kering dirumah mulu pls aku stres pengen berkegiatan yg banyak‍️‍️","1937114670986612833","","","in","","0","0","0","https://x.com/undefined/status/1937114670986612833","1924772120799920128",
"1937112925975806066","Mon Jun 23 11:38:06 +0000 2025","0","belajar dikit aja biar otak ngga kena hp mulu tp banyakin main juga soalnya siap stres pas kuliah","1937112925975806066","","","in","","0","0","0","https://x.com/undefined/status/1937112925975806066","1586714972368691200",
"1936780938392084572","Mon Jun 23 10:29:46 +0000 2025","0","@ay_d131 Amin ya allah","1937095731275595981","","ay_d131","in","","0","0","0","https://x.com/undefined/status/1937095731275595981","991308819375341568",
